Catalog Nbr,Section,Acad Group,Class Nbr,Subject,Course Title,Component,Days,Time,Location,Instructor,Units,Class Duration
 208,1,Architecture & Urban Planning,34510,Architecture,Design Foundations,Seminar,Thursday,2-5PM,1360 A&AB,"Professor Trandafirescu, Professor Kutil, Professor Carpenter",3.00,Full Term
 251,1,Architecture & Urban Planning,28512,Architecture,Seeing,Lab,"Monday, Wednesday",830-1130AM,1360 A&AB,Professor Harris,2.00,Partial Term
 251,2,Architecture & Urban Planning,38030,Architecture,Seeing,Lab,"Monday, Wednesday",2-5PM,1360 A&AB,Professor Harris,2.00,Partial Term
 252,1,Architecture & Urban Planning,28513,Architecture,Measuring,Lab,"Monday, Wednesday",830-1130AM,1360 A&AB,Professor Harris,2.00,Partial Term
 252,2,Architecture & Urban Planning,38031,Architecture,Measuring,Lab,"Monday, Wednesday",2-5PM,1360 A&AB,Professor Harris,2.00,Partial Term
 253,1,Architecture & Urban Planning,28514,Architecture,Scale,Lab,"Monday, Wednesday",830-1130AM,B100 MLB,Professor AbuSeir,2.00,Partial Term
 254,1,Architecture & Urban Planning,28515,Architecture,Projection,Lab,"Monday, Wednesday",830-1130AM,B100 MLB,Professor AbuSeir,2.00,Partial Term
 255,1,Architecture & Urban Planning,28524,Architecture,Imaging,Lab,"Tuesday, Thursday",11-2PM,B100 MLB,Professor Fure,2.00,Partial Term
 255,2,Architecture & Urban Planning,28525,Architecture,Imaging,Lab,"Tuesday, Thursday",11-2PM,B100 MLB,Professor Fure,2.00,Partial Term
 256,1,Architecture & Urban Planning,28528,Architecture,Immersion,Lab,"Tuesday, Thursday",8-11AM,to be determined,Professor Moran,2.00,Partial Term
 257,1,Architecture & Urban Planning,28516,Architecture,Assembly,Lab,"Tuesday, Thursday",8-11AM,B100 MLB,Professor Lomeli,2.00,Partial Term
 258,1,Architecture & Urban Planning,28517,Architecture,Translation,Lab,"Tuesday, Thursday",2-5PM,B100 MLB,not available,2.00,Partial Term
 258,2,Architecture & Urban Planning,31542,Architecture,Translation,Lab,"Tuesday, Thursday",2-5PM,B100 MLB,Professor Lomeli,2.00,Partial Term
 259,1,Architecture & Urban Planning,28527,Architecture,Orientation,Lab,"Tuesday, Thursday",8-11AM,2210 A&AB,Professor Moran,2.00,Partial Term
 312,1,Architecture & Urban Planning,10011,Architecture,Arch Design I,Lab,"Monday, Wednesday, Friday",1-5PM,3100 A&AB,Professor Trandafirescu,6.00,Full Term
 312,5,Architecture & Urban Planning,22731,Architecture,Arch Design I,Lab,"Monday, Wednesday, Friday",1-5PM,3100 A&AB,Professor O'Geen,6.00,Full Term
 312,6,Architecture & Urban Planning,24822,Architecture,Arch Design I,Lab,"Monday, Wednesday, Friday",1-5PM,3100 A&AB,Professor Carpenter,6.00,Full Term
 312,7,Architecture & Urban Planning,38598,Architecture,Arch Design I,Lab,"Monday, Wednesday, Friday",1-5PM,3100 A&AB,Professor Walker,6.00,Full Term
 313,1,Architecture & Urban Planning,10015,Architecture,History Arch I,Seminar,"Tuesday, Thursday",10-1130AM,2222 A&AB,Professor Knoblauch,3.00,Full Term
 313,2,Architecture & Urban Planning,16193,Architecture,History Arch I,Seminar,"Monday, Wednesday",1230-2PM,1360 A&AB,Professor Stanek,3.00,Full Term
 313,3,Architecture & Urban Planning,10016,Architecture,History Arch I,Seminar,"Monday, Wednesday",9-1030AM,2222 A&AB,Professor Manful,3.00,Full Term
 314,1,Architecture & Urban Planning,10017,Architecture,Structures I,Lecture,"Monday, Friday",1030-1130AM,2104 A&AB,Professor von Buelow,3.00,Full Term
 314,2,Architecture & Urban Planning,10018,Architecture,Structures I,Recitation,Wednesday,930-1030AM,to be determined,not available,3.00,Full Term
 316,1,Architecture & Urban Planning,10023,Architecture,Theories & Methods I,Lecture,"Monday, Wednesday",930-1030AM,2104 A&AB,Professor Robinson,3.00,Full Term
 316,2,Architecture & Urban Planning,10024,Architecture,Theories & Methods I,Discussion,Friday,930-1030AM,2108 A&AB,not available,3.00,Full Term
 316,4,Architecture & Urban Planning,23915,Architecture,Theories & Methods I,Discussion,Friday,930-1030AM,to be determined,not available,3.00,Full Term
 316,5,Architecture & Urban Planning,32442,Architecture,Theories & Methods I,Discussion,Friday,930-1030AM,to be determined,not available,3.00,Full Term
 316,6,Architecture & Urban Planning,32443,Architecture,Theories & Methods I,Discussion,Friday,930-1030AM,to be determined,not available,3.00,Full Term
 317,1,Architecture & Urban Planning,10025,Architecture,Construction,Lecture,Tuesday,1-3PM,2104 A&AB,Professor Borum,3.00,Full Term
 317,2,Architecture & Urban Planning,10026,Architecture,Construction,Recitation,Tuesday,3-6PM,3100 A&AB,Professor Borum,3.00,Full Term
 317,4,Architecture & Urban Planning,22071,Architecture,Construction,Recitation,Tuesday,3-6PM,3100 A&AB,Professor Rule,3.00,Full Term
 317,5,Architecture & Urban Planning,24998,Architecture,Construction,Recitation,Tuesday,3-6PM,3100 A&AB,not available,3.00,Full Term
 317,6,Architecture & Urban Planning,24999,Architecture,Construction,Recitation,Tuesday,3-6PM,3100 A&AB,not available,3.00,Full Term
 317,7,Architecture & Urban Planning,32488,Architecture,Construction,Recitation,Tuesday,3-6PM,3100 A&AB,not available,3.00,Full Term
 317,8,Architecture & Urban Planning,32489,Architecture,Construction,Recitation,Tuesday,3-6PM,3100 A&AB,not available,3.00,Full Term
 317,9,Architecture & Urban Planning,32490,Architecture,Construction,Recitation,Tuesday,3-6PM,3100 A&AB,not available,3.00,Full Term
 357,1,Architecture & Urban Planning,22573,Architecture,"Arch, Sustainability",Lecture,"Tuesday, Thursday",9-10AM,1210 CHEM,Professor Maigret,3.00,Full Term
 357,2,Architecture & Urban Planning,22574,Architecture,"Arch, Sustainability",Discussion,Wednesday,10-11AM,373 LORCH,not available,3.00,Full Term
 357,3,Architecture & Urban Planning,22575,Architecture,"Arch, Sustainability",Discussion,Wednesday,10-11AM,173 LORCH,not available,3.00,Full Term
 357,4,Architecture & Urban Planning,22576,Architecture,"Arch, Sustainability",Discussion,Wednesday,10-11AM,G144 AH,not available,3.00,Full Term
 357,5,Architecture & Urban Planning,22577,Architecture,"Arch, Sustainability",Discussion,Wednesday,12-1PM,4212 SEB,not available,3.00,Full Term
 357,6,Architecture & Urban Planning,22578,Architecture,"Arch, Sustainability",Discussion,Wednesday,12-1PM,2310 SEB,not available,3.00,Full Term
 357,7,Architecture & Urban Planning,22579,Architecture,"Arch, Sustainability",Discussion,Wednesday,12-1PM,3556 DANA,not available,3.00,Full Term
 357,8,Architecture & Urban Planning,22580,Architecture,"Arch, Sustainability",Discussion,Wednesday,1-2PM,3752 SSWB,not available,3.00,Full Term
 357,9,Architecture & Urban Planning,22581,Architecture,"Arch, Sustainability",Discussion,Wednesday,1-2PM,142 LORCH,not available,3.00,Full Term
 357,10,Architecture & Urban Planning,22582,Architecture,"Arch, Sustainability",Discussion,Wednesday,1-2PM,2024 DANA,not available,3.00,Full Term
 357,11,Architecture & Urban Planning,23853,Architecture,"Arch, Sustainability",Discussion,Wednesday,9-10AM,3556 DANA,not available,3.00,Full Term
 400,1,Architecture & Urban Planning,10028,Architecture,Tutorl Stds in Arch,Individual Instruction,not available,unknown,to be determined,not available,1.00-3.00,Full Term
 409,1,Architecture & Urban Planning,22527,Architecture,Special Topics Arch,Lecture,Wednesday,6-9PM,2108 A&AB,Professor Nanda,3.00,Full Term
 409,2,Architecture & Urban Planning,34308,Architecture,Special Topics Arch,Lecture,Thursday,830-1130AM,1360 A&AB,Professor Gilpin,3.00,Full Term
 409,3,Architecture & Urban Planning,37646,Architecture,Special Topics Arch,Lecture,not available,unknown,to be determined,Professor Sirota,3.00,Full Term
 411,1,Architecture & Urban Planning,27273,Architecture,Becoming Digital,Seminar,Tuesday,830-1130AM,REMOTE,Professor Abrons,3.00,Full Term
 412,1,Architecture & Urban Planning,15149,Architecture,Arch Design I,Lab,"Monday, Wednesday, Friday",1-5PM,3100 A&AB,"Professor Fure, Professor Moultrie Daye",6.00,Full Term
 413,1,Architecture & Urban Planning,15915,Architecture,History,Seminar,"Tuesday, Thursday",10-1130AM,2222 A&AB,Professor Knoblauch,3.00,Full Term
 413,2,Architecture & Urban Planning,28498,Architecture,History,Seminar,"Monday, Wednesday",1230-2PM,1360 A&AB,Professor Stanek,3.00,Full Term
 413,3,Architecture & Urban Planning,31750,Architecture,History,Seminar,"Monday, Wednesday",9-1030AM,2222 A&AB,Professor Manful,3.00,Full Term
